ACTDT,YEAR,YR_QTR,ACTION,APP_NO,FM,NUMBER,STREET,ST_TYPE,BLOCK,LOT,BLOCKLOT,DESCRIPT,EXT_USE,PROP_USE,AFF_HSG,AFF_TARGET,UNITS,NETUNITS,planning_district_number,planning_district,supervisor_district,analysis_neighborhood,the_geom
2014/06/23,2014,2014_Q2,PRE-FINAL,201405014671,1,900,FOLSOM,ST,3732,009,3732009,EVACUATION MAPS FOR WHOLE BLDG. ON ALL FLOORS- 67 MAPS. COMPLIANCE WITH ORDINANCE #155-13 NOT REQUIRED- CONSTRUCTION UNDER 201106017208.,VACANT LOT,APARTMENTS,40,LI,282,282,9,South of Market,6,South of Market,"(37.780159144091, -122.404136431201)"
2015/02/13,2015,2015_Q1,COMPLETE,201209119424,2,315,SUMMIT,WY,7331,092,7331092,TYPE 5 - ERECT 2 STORY SINGLE FAMILY DWELLING.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,1,13,Ingleside,7,Lakeshore,"(37.714697311756, -122.474924052109)"
2007/10/29,2007,2007_Q4,CFC ISSUED,200606093664,3,1236,45TH,AV,1706,038,1706038,PROPOSED HORIZONTAL & VERTICAL ADDITION TO ACCOMODATE 1 ADDITIONAL UNIT & GARAGE AREA.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,15,Outer Sunset,4,Sunset/Parkside,"(37.763525538769, -122.504755091869)"
2009/01/14,2009,2009_Q4,CFC ISSUED,200607207180,2,2908,ULLOA,ST,2395,041,2395041,ERECT 3 STORIES 1 DWELLING UNIT,,1 FAMILY DWELLING,0,,1,1,15,Outer Sunset,4,Sunset/Parkside,"(37.740903230957, -122.487652635158)"
2014/04/04,2014,2014_Q2,COMPLETE,201104013321,2,3210,JACKSON,ST,0973,031,0973031,"ERECT 3 STORIES, 1 BASEMENT, SINGLE FAMILY UNIT BUILDING.",,1 FAMILY DWELLING,0,,1,1,1,Richmond,2,Presidio Heights,"(37.790957935447, -122.447929665382)"
2011/06/01,2011,2011_Q1,CFC ISSUED,201104214511,8,825,OCEAN,AV,6947,001B,6947001B,COMPLY WITH COMPLAINT 201114601. REMOVE ILLEGAL KITCHEN AT GR FLOOR. ADD LAUNDRY AT GROUND FLOOR,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,13,Ingleside,7,Oceanview/Merced/Ingleside,"(37.722700012336, -122.450267360359)"
2006/12/07,2006,2006_Q4,CFC ISSUED,200409234948,2,1465,UNDERWOOD,AV,4810,033,4810033,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING,,1 FAMILY DWELLING,0,,1,1,10,South Bayshore,10,Bayview Hunters Point,"(37.728141737894, -122.389487713239)"
2007/10/31,2007,2007_Q4,FINAL INSPECT/ APPRVD,200206149077,6,529,21ST,AV,1564,004,1564004,DEMOLISH 2 STORY SINGLE FAMILY UNIT,1 FAMILY DWELLING,,0,,-1,-1,1,Richmond,1,Outer Richmond,"(37.777792950164, -122.480608993354)"
2013/02/07,2013,2013_Q1,CFC ISSUED,201206203050,3,28,PRECITA,AV,5518,023,5518023,,1 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,1,11,Bernal Heights,9,Bernal Heights,"(37.746463851121, -122.418510243298)"
2008/05/28,2008,2008_Q2,FINAL INSPECT/APPRVD,200305295813,2,730,GREAT HIGHWAY,*,1595,003,1595003,"ERECT A THREE STORIES, TWO UNITS RESIDENTIAL BLDG.",,2 FAMILY DWELLING,0,,2,2,1,Richmond,1,Outer Richmond,"(37.774518501936, -122.510919784851)"
2010/08/20,2010,2010_Q3,CFC ISSUED,200904236984,3,4256,23RD,ST,2773,012,2773012,"Horizontal addition to add second unit. ADDTION TO BE  1,000 SQ FT FOR USE AS MASTER BEDROOM SUITE, STUDY, LAUNDRY, 2 BEDROOMS, KITCHEN AND ROOF DECK. ADD SKYLIGHTS AND WNDW REMOVAL EXTG KCHN AT LOWER UNIT. ADD NEW EXTERIOR STAIRS AT REAR OF PROPERTY.",2 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Noe Valley,"(37.752893424646, -122.437850211794)"
2009/05/26,2009,2009_Q2,CFC ISSUED,200406106109,3,1017,GREENWICH,ST,0093,001,0093001,"VERTICAL ADDITION WITHIN EXISTING BUILDING FOOTPRINT, ADD ONE DWELLING UNIT AND A 3-CARS GARAGE. INTERIOR REMODEL.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,3,Northeast,2,Russian Hill,"(37.801325305424, -122.416374603825)"
2006/10/24,2006,2006_Q4,CFC ISSUED,200303139612,3,6725,CALIFORNIA,ST,1404,047,1404047,RESIDENTIAL REMODEL CONSISTS OF RAISING EXISTING 2 STORY RESIDENCE & ADDING GARAGE BELOW. ADDING 4'-,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,1,Richmond,1,Outer Richmond,"(37.783424321897, -122.489783247932)"
2009/12/22,2009,2009_Q4,CFC ISSUED,200505021331,3,266,05TH,AV,1429,029,1429029,"RENOVATE (E), EXTEND HORIZONTAL & VERTICALLY. EXTEND FRAMING & FOUNDATION TO SUPPORT NEW 3RD FL. EXTEND 42' TO REAR, 1ST, 2ND & 3RD FLOOR. NEW ELECTRICAL, MECHANICAL, PLUMBING AND ROOF.",1 FAMILY DWELLING,APARTMENTS,2,SEC,3,2,1,Richmond,1,Inner Richmond,"(37.783636730621, -122.463082204442)"
2007/11/08,2007,2007_Q4,CFC ISSUED,200207292562,1,555,04TH,ST,3776,119,3776119,REV 12 BLDG APPN #9825943S THRU 9825954 TO BE CONSTRUCTED AS 1 BLDG;CHNGE 128 LIVE WORK TO 300 RESIDENTIAL,ARTIST LIVE/ WORK,APARTMENTS,0,,300,300,9,South of Market,6,South of Market,"(37.779455007285, -122.396670369911)"
2005/09/15,2005,2005_Q3,CFC ISSUED,200507268657,3,308,MISSOURI,ST,4036,002,4036002,FOR RECOR,,,0,,0,2,9,South of Market,10,Potrero Hill,"(37.762370185561, -122.396829171173)"
2005/08/25,2005,2005_Q3,CFC ISSUED,200411199685,3,368,DOLORES,ST,3566,007,3566007,ILLEGALY,,,0,,0,-8,7,Central,8,Castro/Upper Market,"(37.763517259356, -122.426667845177)"
2005/04/25,2005,2005_Q2,CFC ISSUED,200504210624,8,470,ELIZABETH,ST,3653,021,3653021,ESTABLISH,,,0,,0,1,7,Central,8,Noe Valley,"(37.752512037042, -122.431358809623)"
2010/03/11,2010,2010_Q1,CFC ISSUED,200701182011,2,155,AMES,ST,3632,040,3632040,"TO ERECT 3 STORIES, SINGLE FAMILY DWELLING UNIT.",,1 FAMILY DWELLING,0,,1,1,8,Mission,8,Mission,"(37.754074176495, -122.42343594758)"
2015/11/13,2015,2015_Q4,CFC ISSUED,201405155825,2,111,SUMMIT,WY,7331,108,7331108,"ERECT 4 STORIES, 1 BASEMENT, TYPE 5, 2 DWELLING UNITS BUILDING.",2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,2,13,Ingleside,7,Lakeshore,"(37.715215422298, -122.47564981433)"
2007/12/14,2007,2007_Q4,PRE-FINAL,200308051236,3,942,MARKET,ST,0341,005,0341005,"CONVERSION OF EXISTING OFFICE TO RESIDENTIAL, NEW SEISMIC UPGRADE, FIRE PROTECTION, NEW AKA 938 MARKET ST",OFFICE,APARTMENTS,13,MOD,15,33,4,Downtown,6,Tenderloin,"(37.783773086993, -122.408836433321)"
2009/02/18,2009,2009_Q1,FINAL INSPECT/APPRVD,200704037991,2,2560,BRYANT,ST,4208,013,4208013,ERECT A NEW 4 STORY 2 FAMILY RESIDENTIAL BUILDING.,,2 FAMILY DWELLING,0,,2,2,8,Mission,9,Mission,"(37.753403042602, -122.409519108736)"
2013/10/28,2013,2013_Q4,COMPLETE,201305298146,8,1122,PAGE,ST,1219,008,1219008,,APARTMENTS,APARTMENTS,0,,4,1,6,Buena Vista,5,Haight Ashbury,"(37.772170364755, -122.4393782896)"
2010/02/26,2010,2010_Q1,CFC ISSUED,200512281129,2,101,EXECUTIVE PARK,BL,4991,279,4991279,"BLDG# 5 - TO ERECT 3 STORIES, 7 RESIDENTIAL UNITS.",,APARTMENTS,2,VLI,7,7,10,South Bayshore,10,Bayview Hunters Point,"(37.712261802935, -122.393462368644)"
2015/06/29,2015,2015_Q2,COMPLETE,201501085180,8,1779,25TH,AV,2024,020,2024020,"TO COMPLY WITH NOV 201487551; 2ND FLR,REPLACE KITCHEN TILES, CABINETS, COUNTERTOP, BATHROOM TILES, COUNTERTOP, BATHTUB WITH SHOWER DOORS, 1ST FLR:  REMOVE DRYER EXHAUST DUCT, REMOVE STOVE & RANGE HOOD, ADD STORAGE ROOM; REMOVE RANGE HOOD; BOARD UP 3 WIND",1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,15,Outer Sunset,4,Sunset/Parkside,"(37.754371729144, -122.483272262695)"
2015/07/23,2015,2015_Q3,COMPLETE,201408053038,3,335,RALSTON,ST,7003,013,7003013,"1)REVISION TO APP#201407231936. LEGALIZE AS BUILT BATHROOMS, BEDROOMS, FAMILY ROOM, AND KITCHEN AT 1ST FLOOR PER PLAN. 2)LEGALIZE  ONE BEDROOM, AND ONE STORAGE ROOM AT LOWER LEVEL PER PLAN. UNIT LEGALIZATION ORDINANCE 43-14",2 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.718548133729, -122.469232696217)"
2007/03/21,2007,2007_Q1,CFC ISSUED,200401154155,3,2905,BUSH,ST,1055,023,1055023,"VERTICAL AND HORIZONTAL ADDITION, NEW 2ND UNIT AT  LOWER LEVEL, NEW GARAGE.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,1,Richmond,2,Presidio Heights,"(37.785275652968, -122.44529313838)"
2015/03/02,2015,2015_Q1,COMPLETE,201202274917,3,2917,25TH,ST,4274,032,4274032,VERTICAL & HORIZONTAL EXTENSION TO ENLARGE 1 STORY SINGLE FAMILY HOME TO 2 STORIES SINGLE FAMILY HOME & ADD A LEGAL IN LAW UNIT IN THE GROUND FLOOR.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,1,8,Mission,9,Mission,"(37.751021185411, -122.408523828394)"
2011/04/27,2011,2011_Q1,CFC ISSUED,200612139733,2,55,TRUMBULL,ST,5868,006,5868006,ERECT 3 STORIES 18 DWELLING UNITS BUILDING,,APARTMENTS,2,LI,18,18,12,South Central,11,Excelsior,"(37.731034723955, -122.428688741144)"
2009/05/07,2009,2009_Q2,FINAL INSPECT/APPRVD,200710316935,3,831,BRUSSELS,ST,6155,016,6155016,"TO COMPLY WITH NOV #200793351 & #200793471 TO REMOVE ILLEGAL STUDIO APT, 1 BATHROOM & KITCHEN, LEGALIZE NEW STORAGE ROOM IN BASEMENT & NEW DECK @ REAR YARD.",2 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,12,South Central,9,Portola,"(37.721961995223, -122.403128618353)"
2006/12/15,2006,2006_Q4,CFC ISSUED,200401305280,3,1683,KIRKWOOD,AV,5290,029,5290029,VERTICAL ADDITION- SITE PERMIT FOR VERTICAL ADDITION.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,10,South Bayshore,10,Bayview Hunters Point,"(37.738839990227, -122.391685761597)"
2005/10/20,2005,2005_Q4,CFC ISSUED,200405264872,3,141,PARNASSUS,AV,1277,001G,1277001G,INSTALL N,,,0,,0,-1,6,Buena Vista,5,Haight Ashbury,"(37.76459477803, -122.450925792586)"
2005/09/06,2005,2005_Q3,CFC ISSUED,200212032638,3,574,19TH,AV,1561,023A,1561023A,HORIZONTA,,,0,,0,1,1,Richmond,1,Outer Richmond,"(37.777097862651, -122.477749187909)"
2015/12/16,2015,2015_Q4,COMPLETE,201502057587,8,115,CORNWALL,ST,1431,048,1431048,"ABATE COMPLAINT 201522521. REVISE 201301117735 UNDER CONSTRUCTION TO ADD SUNKEN PATIO SLAB 400 SF. ADD DRAIN. SITE RETAINING WALLS LESS THAN 48"" DO NOT NEED PERMITS. ADD 24""X36"" WINDOW TO ATTIC AT REAR. NOT VISIBLE FROM STREET.",2 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,1,Richmond,1,Inner Richmond,"(37.784748177525, -122.460627475693)"
2007/11/01,2007,2007_Q4,CFC ISSUED,200710296672,8,498,FAIR OAKS,ST,6534,015,6534015,RENEW APP #200409174457 FOR FINAL INSPECTION,APARTMENTS,2 FAMILY DWELLING,0,,2,-1,8,Mission,8,Mission,"(37.748828319643, -122.423978856905)"
2008/09/17,2008,2008_Q3,CFC ISSUED,200603086205,2,1108,FITZGERALD,AV,4914,023,4914023,TO ERECT A NEW 3 STORY SINGLE FAMILY DWELLING.,,1 FAMILY DWELLING,0,,1,1,10,South Bayshore,10,Bayview Hunters Point,"(37.72021959408, -122.389490646298)"
2005/06/27,2005,2005_Q2,CFC ISSUED,9918023S,2,35,CRANE,ST,5464,040,5464040,ERECT A O,,,0,,0,1,10,South Bayshore,10,Bayview Hunters Point,"(37.722545884769, -122.399204971539)"
2010/06/30,2010,2010_Q2,CFC ISSUED,200610124833,2,963,NORTH POINT,ST,0453,013,0453013,ERECT 3 STORIES 2 DWELLING UNITS  @ FRONT,,2 FAMILY DWELLING,0,,2,2,3,Northeast,2,Russian Hill,"(37.805093015229, -122.422977176466)"
2015/09/08,2015,2015_Q3,COMPLETE,201407161400,8,843,CAPP,ST,3642,056,3642056,REVERT PROPERTY BACK TO LAST LEGAL USE AS A SINGLE FAMILY DWELLING UNIT. REMOVE ILLEGAL KITCHEN ON 2ND FL. REMOVE DIVINDING WALL AT 1ST FL HALLWAY. REPLACE ENTRY DOORS. LEGAL USE AND OCCUPANCY DETERMINED BY A REVIEW OF CITY RECORDS,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,8,Mission,9,Mission,"(37.75319752815, -122.4171304162)"
2009/10/16,2009,2009_Q4,CFC ISSUED,200609253218,1,330,BERRY,ST,8704,005,8704005,"ERECT 5 STORIES, 64 UNITS OF RESIDENTIAL/PARKING.  MISSION WALK",,APARTMENTS,64,MOD,64,64,9,South of Market,6,Mission Bay,"(37.773532937938, -122.396751257918)"
2007/10/30,2007,2007_Q4,CFC ISSUED,200504281129,3,146,28TH,ST,6600,012C,6600012C,"VERTICAL & HORIZONTAL ADDITION. 1ST/FL -ALTER GARAGE & REPLACE STAIRS. REMOVE KITCHEN, EXTEND KITCHEN.2/FL-ALTER KITCHEN&BATH,EXTEND BEDRMS.NEW 3/FL-ADD KITCHEN,BATH, LIVING&DINING RMS,BEDRMS.NEW 4/FL-ADD MASTER BEDRM,MASTER BATH&DECK.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Noe Valley,"(37.74555993688, -122.425719648393)"
2005/12/31,2005,2005_Q4,OK,200308273195,3,69,CLEMENTINA,ST,3736,159,3736159,REVISE TO,,,2,MOD,18,18,9,South of Market,6,Financial District/South Beach,"(37.786417882976, -122.396385588727)"
2016/12/23,2016,2016_Q4,PRE-FINAL,201207124717,1,301,BEALE,ST,3746,003,3746003,"TOWER B - ERECT 42 STORIES, 285 DWELLING UNITS, 4 BASEMENT WITH PARKING AND RETAIL BUILDING.",,APARTMENTS,0,OFF,285,285,9,South of Market,6,Financial District/South Beach,"(37.788686730196, -122.39186348966)"
2008/03/27,2008,2008_Q1,FINAL INSPECT/APPRVD,200502246183,6,2123,LEAVENWORTH,ST,0094,002,0094002,"DEMOLISH 3 STORIES, 2 DWELLING UNITS BUILDING.",2 FAMILY DWELLING,,0,,-2,-2,3,Northeast,2,Russian Hill,"(37.800708407491, -122.417992497234)"
2009/12/02,2009,2009_Q4,FINAL INSPECT/APPRVD,200608250622,6,1515,12TH,AV,1858,004,1858004,DEMOLISH A 2 STORY SINGLE FAMILY DWELLING UNIT,1 FAMILY DWELLING,,0,,0,-1,14,Inner Sunset,7,Inner Sunset,"(37.759811442048, -122.469579655662)"
2015/05/21,2015,2015_Q2,COMPLETE,201410037998,8,1,JADE,PL,7523,017,7523017,REMOVE THE ILLEGAL UNIT  AND RECLAIM SPACE.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,7,Central,8,Glen Park,"(37.742175683881, -122.440317043637)"
2005/12/21,2005,2005_Q4,CFC ISSUED,200512089840,8,257,CHURCH,ST,3544,057,3544057,ADMINISTR,,,0,,0,2,7,Central,8,Castro/Upper Market,"(37.766716590431, -122.428528418838)"
2006/06/23,2006,2006_Q2,CFC ISSUED,200606144064,8,1360,34TH,AV,1788,025,1788025,SITE PERMIT FOR VERTICAL ADDITION AND ADDITIONAL UNIT  FOR FINAL INSPECTION.,2 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,15,Outer Sunset,4,Sunset/Parkside,"(37.761727913442, -122.492803506994)"
2015/02/17,2015,2015_Q1,COMPLETE,200507147539,3,2986,22ND,ST,3613,018B,3613018B,"ALTERATION OF (E) 1ST AND 2ND FLOORS, CONSTRUCTION OF 3RD & 4TH FLOOR, BASEMENT, ADDING TWO ADDT'L UNITS FOR TOTAL OF 3 UNITS - HORIZONTAL & VERTICAL ADDITION.",APARTMENTS,APARTMENTS,2,SEC,3,2,8,Mission,9,Mission,"(37.755906915639, -122.413978233907)"
2009/12/01,2009,2009_Q4,CFC ISSUED,200411139076,2,124,MARY TERESA,ST,5054A,093,5054A093,ERECT 3 STORIES OF 2 FAMILY DWELLING.  BAYSIDE VISTA,,2 FAMILY DWELLING,0,,3,2,10,South Bayshore,10,Bayview Hunters Point,"(37.714213847298, -122.398684220742)"
2005/07/22,2005,2005_Q3,CFC ISSUED,200205106302,2,28,ORIZABA,AV,7155,045,7155045,ERECT 3 S,,,0,,0,1,12,South Central,11,Outer Mission,"(37.709967896326, -122.462294242359)"
2009/02/11,2009,2009_Q1,FINAL INSPECT/APPRVD,200405174118,6,443,MADRID,ST,6079,029,6079029,DEMOLISH 3 STORIES OF 1 DWELLING UNIT.,1 FAMILY DWELLING,,0,,0,-1,12,South Central,11,Excelsior,"(37.722310282871, -122.431955844685)"
2017/08/28,2017,2017_Q3,PRE-FINAL,201312244989,1,660,INDIANA,ST,4041,009,4041009,"ERECT 5 STORIES, 60 DWELLING UNITS.",,APARTMENTS,9,LOW,60,60,9,South of Market,10,Potrero Hill,"(37.762154172334, -122.391873892763)"
2006/09/07,2006,2006_Q3,CFC ISSUED,200407209230,1,785,BRANNAN,ST,3784,018,3784018,ERECT A 5 STORY 56 UNIT RESIDENTIAL BLDG.,,APARTMENTS,56,VLI,56,56,9,South of Market,6,South of Market,"(37.773170729025, -122.40257311165)"
2015/05/20,2015,2015_Q2,COMPLETE,201405155782,2,96,SUMMIT,WY,7331,028,7331028,"TO ERECT 3 STORIES, 1 BASEMENT, 2 UNITS RESIDENTIAL BUILDING.*** THIS APPLICATION IS A IDENTICAL PLAN OF PA# 2012/09/11/9408 ISSUED ON 10/07/2013. PER TOM LE OF SFDBI, THIS APPLICATION IS QUALIFIED FOR REDUCED PLAN REVIEW FEE PER SFBC 107A.3.1 ***",2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,2,13,Ingleside,7,Lakeshore,"(37.715384033627, -122.47491873403)"
2013/08/27,2013,2013_Q3,CFC ISSUED,201302261004,8,1618,35TH,AV,1909,032,1909032,,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,15,Outer Sunset,4,Sunset/Parkside,"(37.756818933077, -122.493535226635)"
2006/11/02,2006,2006_Q4,FINAL INSPECT/ APPRVD,200606264977,6,662,NATOMA,ST,3727,059,3727059,EMERGENCY DEMOLITION OF A 4 UNIT 2 STORY RESIDENTIAL BUILDING,APARTMENTS,,0,,4,-4,4,Downtown,6,South of Market,"(37.777456886133, -122.41144244145)"
2007/07/03,2007,2007_Q3,CFC ISSUED,200507147577,2,179,RIPLEY,ST,5542,032,5542032,ERECT 3 STORIES SINGLE FAMILY DWELLING BUILDING .,,1 FAMILY DWELLING,0,,1,1,11,Bernal Heights,9,Bernal Heights,"(37.744509659547, -122.411064019695)"
2005/03/11,2005,2005_Q1,CFC ISSUED,200307169629,2,2045,QUESADA,AV,5335,041,5335041,ERECT A,,,0,,0,1,10,South Bayshore,10,Bayview Hunters Point,"(37.736818643749, -122.398059345641)"
2009/04/29,2009,2009_Q2,CFC ISSUED,200509284193,2,601,ALABAMA,ST,4021,001,4021001,"ERECT 4 STORY, 34 DWELLING UNIT, RESIDENTIAL BUILDING, MOSAICA 601 PROJECT",,APARTMENTS,21,VLI,34,34,8,Mission,9,Mission,"(37.761038665069, -122.411519178152)"
2007/10/02,2007,2007_Q4,CFC ISSUED,200404141315,2,3215,21ST,ST,3616,058,3616058,ERECT A FIVE STORY THREE UNIT RESIDENTIAL BLDG,,APARTMENTS,0,,3,3,8,Mission,9,Mission,"(37.756799904681, -122.419392060907)"
2008/02/28,2008,2008_Q1,CFC ISSUED,200510195983,2,1020,GILMAN,AV,4937,016,4937016,ERECT 2 STORIES 1 UNIT BUILDING,,1 FAMILY DWELLING,0,,1,1,10,South Bayshore,10,Bayview Hunters Point,"(37.718687311452, -122.388411785853)"
2012/02/15,2012,2012_Q1,CFC ISSUED,201006174692,3,261,02ND,AV,1431,013,1431013,"HORIZONTAL ADDITION 8'0"" INTO REAR YARD 2 LEVEL. ADD NEW UNIT @ GRD FLOOR. ADD PARKING SPACE IN GARAGE FOR 2. STAIRS TO ATTIC. REPLACE FOUNDATIONS. BAT. GENERAL M.E.P. UPGRADE.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,1,Richmond,1,Inner Richmond,"(37.783824410232, -122.460526027291)"
2011/11/09,2011,2011_Q4,CFC ISSUED,201012297565,3,1729,STOCKTON,ST,0089,007,0089007,"A NEW 1 STORY VERTICAL ADDITION HOUSING, 2 NEW STUDIO APARTMENTS OVER AN (E) REAR YARD ONE UNIT COTTAGE. TOTAL OF 3 UNITS IN THE REAR YARD COTTAGE.",APARTMENTS,APARTMENTS,2,SEC,3,2,3,Northeast,3,North Beach,"(37.801771104724, -122.409778372017)"
2015/08/27,2015,2015_Q3,COMPLETE,201406168427,8,1627,PALOU,AV,5327,047,5327047,ADD ONE NEW KITCHEN IN (E) FAMILY ROOM AT GROUND FLOOR PER PLAN.  INSTALL NEW WALL FURNACE AT GROUND FLOOR AND 2ND FLOOR.  IN COMPLIANCE OF NOV 201474521 AND 201474497,2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,1,10,South Bayshore,10,Bayview Hunters Point,"(37.734132941006, -122.391719377517)"
2010/09/03,2010,2010_Q3,CFC ISSUED,200905279233,3,2731,CALIFORNIA,ST,1027,016,1027016,ALTERED SITE FOR PA# 2008/03/27/8186S. NEW REAR EXIT STAIR & DECKS @ 2ND & 3RD FLOORS. RE-FRAMING @ REAR TO REPLACE DAMAGED FRAMING IN KIND. NEW ADDITION @ REAR 1ST FLOOR. EXPANSION TO UNIT B. IDENTIFY LEGAL CONFORMING AND LEGAL NON-CONFORMING UNITS. TO*,APARTMENTS,APARTMENTS,0,,4,-1,5,Western Addition,2,Pacific Heights,"(37.787841218313, -122.439832660253)"
2008/02/12,2008,2008_Q1,CFC ISSUED,200612049019,3,3639,DIVISADERO,ST,0919,001C,0919001C,"UNIT 2 - LEGALIZING (E) GROUND FLOOR APARTMENT AS NEW UNIT #2-443 S.F. THIS IS A REVISION TO PREVIOUSLY APPROVED APPL#200501203600, REMOVAL OF REAR DECK & STAIR ON PREVIOUS APPROVED PLAN.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,2,Marina,2,Marina,"(37.803269344226, -122.443867339216)"
2015/01/13,2015,2015_Q1,COMPLETE,201401075730,8,1865,GENEVA,AV,6327,014,6327014,DEMOLITION AND CORRECTION. TO COMPLY W/ NOV #201327871. LEGALIZE ONE (N) BATHROOM. AND TWO (N) STORAGE.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,12,South Central,10,Visitacion Valley,"(37.709624014582, -122.423370806328)"
2011/04/29,2011,2011_Q1,CFC ISSUED,201003188461,3,638,08TH,AV,1637,028,1637028,LOWER UNIT: IN-LAW UNIT LEGALIZATION WORK INCLUDES INTERIOR REMODING: EXISTING LAUNDRY ROOM CONVERTS TO A KITCHEN & REMOVAL OF INTERIOR DOOR & A WINDOW AT THE FAMILY ROOM.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,1,Richmond,1,Inner Richmond,"(37.776402635153, -122.465784193889)"
2006/04/11,2006,2006_Q2,CFC ISSUED,200410298103,3,330,PARKER,AV,1150,019,1150019,"INTERIOR T.I. ON FIRST 3 FLOORS.UNER 200405042958. GRD FL-LAUNDRY FACILITIES, OFFICE&STORAGE SPACE..",MISC GROUP RESIDNS.,MISC GROUP RESIDNS.,0,,170,34,5,Western Addition,5,Lone Mountain/USF,"(37.778234970338, -122.444721718642)"
2009/10/05,2009,2009_Q3,CFC ISSUED,200609223108,2,2719,15TH,AV,2540,008,2540008,"BLDG B - ERECT 2 STORIES, SINGLE FAMILY HOME.  ARDENWOOD",,1 FAMILY DWELLING,0,,1,1,14,Inner Sunset,7,West of Twin Peaks,"(37.736665753987, -122.473082903741)"
2005/04/14,2005,2005_Q2,CFC ISSUED,200503258477,8,2940,FOLSOM,ST,6525,008,6525008,RENEW APP,,,0,,0,3,8,Mission,9,Mission,"(37.750176775827, -122.414212693411)"
2011/02/07,2011,2011_Q1,CFC ISSUED,200712069782,3,421,MORAGA,ST,2039,045,2039045,One story vertical addition w/ a two story horizontal addition to the rear including adding a 2nd unit with a 2nd parking space. Work includes demolition of (e) walls.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,14,Inner Sunset,7,Inner Sunset,"(37.756275669879, -122.467306162839)"
2015/08/28,2015,2015_Q3,COMPLETE,201302200538,3,2042,BALBOA,ST,1564,023,1564023,CONVERT (E) OFFICE SPACE INTO STUDIO APARTMENT SPACE AT GROUND FLOOR.,2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,1,1,Richmond,1,Outer Richmond,"(37.776608048204, -122.481002874805)"
2015/05/19,2015,2015_Q2,COMPLETE,201411141489,8,2420,MORAGA,ST,1913,019,1913019,COMPLY WITH NOV. 200232428. REMOVE ILLEGAL KITCHEN ON GROUND FLOOR. RETURUN TO APPORVED STORAGE ROOM PER PA3144496 COMPLETED 8/15/1952 WITH CFC.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,15,Outer Sunset,4,Sunset/Parkside,"(37.755820926242, -122.488866362518)"
2005/04/14,2005,2005_Q2,CFC ISSUED,200303129514,2,3130,NORIEGA,ST,2011,007,2011007,ERECT A F,,,0,,0,9,15,Outer Sunset,4,Sunset/Parkside,"(37.753572626944, -122.497605635881)"
2006/08/01,2006,2006_Q3,CFC ISSUED,200604259798,8,1,REDDY,ST,5409,030,5409030,"COMPLY WITH CORRECTION ITEMS PER NOV COMPLAINT 20066781, MAINLY TO CONVERT ILLEGAL KITCHEN BACK TO LAUNDRY. USE AND REINSTATE OFF ST PARKING ON GR FL",2 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,10,South Bayshore,10,Bayview Hunters Point,"(37.730835978461, -122.394965776005)"
2007/08/10,2007,2007_Q3,PRE-FINAL,200312293131,2,183,SADOWA,ST,7138,032,7138032,TO ERECT A NEW 2-STORY SINGLE FAMILY DWELLING BUILDING.,,1 FAMILY DWELLING,0,,1,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.712049446598, -122.458405808866)"
